Majority protein IDs,Protein names,Gene names,ORF,Peptides,Unique peptides,Sequence coverage [%],PEP,Copy number
P40081,Putative magnesium-dependent phosphatase YER134C,YER134C,YER134C,10,10,77.5,4.70E-88,7872.644001
Q06489,Methylthioribose-1-phosphate isomerase,MRI1,YPR118W,14,14,57.9,0,7883.379172
P18759,Vesicular-fusion protein SEC18,SEC18,YBR080C,24,24,46,1.35E-220,7907.620778
Q07688,Phosphorelay intermediate protein YPD1,YPD1,YDL235C,8,8,61.1,7.82E-62,7915.002712
P37299,Cytochrome b-c1 complex subunit 10,QCR10,YHR001W-A,4,4,46.8,7.74E-23,7926.685673
P40509,Coatomer subunit epsilon,SEC28,YIL076W,12,12,58.4,1.02E-233,7934.873415
P81449,"ATP synthase subunit e, mitochondrial",TIM11,YDR322C-A,4,4,50,5.90E-48,7935.09913
P34223,UBX domain-containing protein 1,SHP1,YBL058W,14,14,50.8,4.40E-255,7941.33524
P53883,Nucleolar protein 13,NOP13,YNL175C,22,22,55.1,1.55E-227,7954.895779
Q12464,RuvB-like protein 2,RVB2,YPL235W,18,18,55,1.19E-194,7973.406511
P39729,Ribosome-interacting GTPase 1,RBG1,YAL036C,10,10,39.8,4.54E-155,7991.347949
P16451,"Pyruvate dehydrogenase complex protein X component, mitochondrial",PDX1,YGR193C,21,21,63.4,2.51E-269,7995.445121
P46956,Inorganic phosphate transporter PHO86,PHO86,YJL117W,8,8,39.9,5.69E-110,7996.183474
P40008,"Protein FMP52, mitochondrial",FMP52,YER004W,9,9,53.2,3.11E-140,8029.320559
P50107,Lactoylglutathione lyase,GLO1,YML004C,11,11,43.3,6.18E-156,8069.301047
P32803,Endosomal protein P24B,EMP24,YGL200C,2,2,16.7,1.95E-40,8077.227098
P46992,Cell wall protein YJL171C,,YJL171C,4,4,17.2,9.60E-56,8077.387622
Q12009,tRNA (guanine-N(7)-)-methyltransferase,TRM8,YDL201W,13,13,47.2,5.97E-82,8078.69286
Q12408,Phosphatidylglycerol/phosphatidylinositol transfer protein,NPC2,YDL046W,4,4,31.8,2.92E-83,8089.804954
Q08962,60S ribosome subunit biogenesis protein NIP7,NIP7,YPL211W,8,8,63,3.38E-83,8090.402383
P47117,Actin-related protein 3,ARP3,YJR065C,11,11,46.5,0,8097.603574
P38845,Cruciform DNA-recognizing protein 1;CRP1 short N-terminal subpeptide;CRP1 short C-terminal subpeptide,CRP1,YHR146W,22,22,64.5,1.78E-222,8105.68228
P08525,Cytochrome b-c1 complex subunit 8,QCR8,YJL166W,4,4,52.1,3.53E-25,8131.549295
P39714,Diacetyl reductase [(R)-acetoin forming],BDH1,YAL060W,15,15,54.5,2.02E-195,8164.137066
Q07451,Endoplasmic reticulum transmembrane protein 3,YET3,YDL072C,8,8,43.8,1.06E-122,8178.596787
P40518,Actin-related protein 2/3 complex subunit 5,ARC15,YIL062C,3,3,26,5.71E-60,8216.740787
P40054,D-3-phosphoglycerate dehydrogenase 1,SER3,YER081W,14,9,42.2,2.38E-146,8216.859192
P53622,Coatomer subunit alpha,COP1,YDL145C,34,34,46.5,0,8217.371607
P33399,La protein homolog,LHP1,YDL051W,13,13,51.6,9.84E-135,8217.474602
P14065,Protein GCY,GCY1,YOR120W,15,14,69.6,2.20E-262,8229.481155
P11632,Non-histone chromosomal protein 6A,NHP6A,YPR052C,4,4,32.3,2.07E-08,8253.058321
P38286,3-ketoacyl-CoA reductase,IFA38,YBR159W,9,9,37.8,2.00E-105,8268.164682
P35197,ADP-ribosylation factor GTPase-activating protein GCS1,GCS1,YDL226C,17,17,54.8,6.19E-299,8286.945901
Q12233,"ATP synthase subunit g, mitochondrial",ATP20,YPR020W,6,6,57.4,4.22E-72,8345.753336
P20434,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",RPB5,YBR154C,7,7,58.6,4.03E-155,8348.772077
P38787,2-dehydropantoate 2-reductase,PAN5,YHR063C,12,12,46.2,0,8371.803154
P32499,Nucleoporin NUP2,NUP2,YLR335W,49,49,68.9,0,8376.401942
Q01560,Nucleolar protein 3,NPL3,YDR432W,4,4,12.3,1.42E-40,8420.966223
P49367,"Homoaconitase, mitochondrial",LYS4,YDR234W,27,27,53.8,0,8450.437615
Q06287,Ribosomal RNA small subunit methyltransferase NEP1,EMG1,YLR186W,12,12,69.4,1.58E-124,8454.197588
P53731,Actin-related protein 2/3 complex subunit 2,ARC35,YNR035C,10,10,44.4,2.37E-119,8494.759927
P52871,Protein transport protein SEB2,SEB2,YER019C-A,2,2,38.6,2.82E-14,8498.11904
P40070,U6 snRNA-associated Sm-like protein LSm4,LSM4,YER112W,6,6,30.5,1.04E-77,8553.548878
P38687,Signal recognition particle subunit SRP68,SRP68,YPL243W,24,24,57.6,0,8622.28074
Q06338,Protein BCP1,BCP1,YDR361C,12,12,55.1,1.84E-94,8637.310629
Q08746,Regulator of ribosome biosynthesis,RRS1,YOR294W,11,11,70,1.49E-184,8642.37722
P09440,"C-1-tetrahydrofolate synthase, mitochondrial;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase",MIS1,YBR084W,41,41,52.6,0,8654.507248
P19073,Cell division control protein 42,CDC42,YLR229C,4,4,35.6,4.29E-34,8689.836813
P40053,"Altered inheritance of mitochondria protein 9, mitochondrial",AIM9,YER080W,32,32,63.5,0,8700.609607
P40005,Prefoldin subunit 2,GIM4,YEL003W,8,8,56.8,1.40E-25,8701.532835
P36017,Vacuolar protein sorting-associated protein 21,VPS21,YOR089C,10,10,56.7,3.98E-71,8703.537559
O13563,26S proteasome regulatory subunit RPN13,RPN13,YLR421C,5,5,48.1,3.36E-25,8710.257201
Q02647,"Dynein light chain 1, cytoplasmic",DYN2,YDR424C,5,5,46.7,2.19E-31,8726.622325
Q12746,Plasma membrane-associated coenzyme Q6 reductase PGA3,PGA3,YML125C,11,11,60.3,5.23E-151,8749.169592
Q04178,Hypoxanthine-guanine phosphoribosyltransferase,HPT1,YDR399W,8,8,54.3,1.04E-127,8751.098656
Q12354,Acyl-protein thioesterase 1,,YLR118C,7,7,55.5,6.53E-96,8800.998874
P16603,NADPH--cytochrome P450 reductase,NCP1,YHR042W,24,24,45.3,0,8812.477621
Q12166,"2-isopropylmalate synthase 2, mitochondrial",LEU9,YOR108W,16,13,43.7,6.59E-254,8863.156365
P38221,Phosphatidate cytidylyltransferase,CDS1,YBR029C,8,8,16,1.18E-36,8865.36107
P54114,Aldehyde dehydrogenase [NAD(P)+] 2,ALD3,YMR169C,31,14,79.2,0,8885.861613
P20436,"DNA-directed RNA polymerases I, II, and III subunit RPABC3",RPB8,YOR224C,3,3,31.5,1.11E-34,8931.605576
P43593,Ubiquitin carboxyl-terminal hydrolase 6,UBP6,YFR010W,24,24,70.9,0,8978.379027
P01098,"ATPase-stabilizing factor 9 kDa, mitochondrial",STF1,YDL130W-A,3,3,29.1,5.48E-15,9012.717516
P43577,Glucosamine 6-phosphate N-acetyltransferase,GNA1,YFL017C,10,10,82.4,4.22E-95,9031.183991
P53334,Probable family 17 glucosidase SCW4,SCW4,YGR279C,10,10,48.2,0,9037.451227
P35732,RNA polymerase II degradation factor 1,DEF1,YKL054C,21,21,39.6,0,9049.991003
Q12452,3-keto-steroid reductase,ERG27,YLR100W,14,14,48.7,1.13E-118,9057.254052
P38071,"Enoyl-[acyl-carrier protein] reductase [NADPH, B-specific], mitochondrial",ETR1,YBR026C,12,12,49.7,3.35E-253,9082.793429
Q02969,Peroxisomal membrane protein PEX25,PEX25,YPL112C,13,13,52,3.08E-233,9126.623384
Q04067,Eukaryotic translation initiation factor 3 subunit G,TIF35,YDR429C,3,3,20.8,1.49E-87,9135.178077
P39935,Eukaryotic initiation factor 4F subunit p150,TIF4631,YGR162W,32,30,47.7,0,9173.594549
P32368,Phosphoinositide phosphatase SAC1,SAC1,YKL212W,21,21,41.1,1.77E-283,9217.91979
P53860,Phosphatidylinositol transfer protein PDR16,PDR16,YNL231C,18,17,48.7,6.46E-129,9238.905549
Q01939,26S protease regulatory subunit 8 homolog,RPT6,YGL048C,11,11,32.1,9.51E-134,9302.18781
Q06205,FK506-binding protein 4,FPR4,YLR449W,11,9,32.4,4.88E-94,9309.538484
P32897,Mitochondrial import inner membrane translocase subunit TIM23,TIM23,YNR017W,8,8,50.9,2.17E-141,9340.759634
P38764,26S proteasome regulatory subunit RPN1,RPN1,YHR027C,37,37,51.5,0,9352.69649
P14906,Protein translocation protein SEC63,SEC63,YOR254C,21,21,47.8,3.19E-282,9376.403354
P53600,Coatomer subunit zeta,RET3,YPL010W,5,5,41.8,7.34E-129,9380.725811
Q03195,Translation initiation factor RLI1,RLI1,YDR091C,16,16,28.8,2.14E-176,9393.845246
P33892,Translational activator GCN1,GCN1,YGL195W,77,77,41.6,0,9431.528616
P48015,"Aminomethyltransferase, mitochondrial",GCV1,YDR019C,17,17,75,0,9433.736436
P47044,LOG family protein YJL055W,,YJL055W,10,10,67.3,6.56E-129,9438.273018
P40312,Cytochrome b5,CYB5,YNL111C,5,5,70.8,1.07E-51,9440.513065
P32565,26S proteasome regulatory subunit RPN2,RPN2,YIL075C,37,37,49.3,0,9455.264191
Q08689,N-terminal acetyltransferase A complex subunit NAT5,NAT5,YOR253W,9,9,83,9.31E-178,9455.393884
P36049,rRNA-processing protein EBP2,EBP2,YKL172W,19,19,43.8,3.67E-232,9470.338103
P39938,40S ribosomal protein S26-A,RPS26A,YGL189C,2,1,14.3,2.54E-07,9501.558074
P27614,Carboxypeptidase S,CPS1,YJL172W,14,14,26.4,1.40E-108,9535.269223
P53909,Adenine deaminase,AAH1,YNL141W,15,15,64.3,1.41E-204,9569.964101
P38203,U6 snRNA-associated Sm-like protein LSm2,LSM2,YBL026W,4,4,45.3,3.70E-32,9609.250638
P38624,Proteasome component PRE3,PRE3,YJL001W,11,11,57.7,5.21E-114,9609.895509
P14742,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing],GFA1,YKL104C,21,21,42.4,1.75E-291,9643.588314
Q06103,26S proteasome regulatory subunit RPN7,RPN7,YPR108W,19,19,53.8,1.41E-216,9661.130079
Q04728,"Arginine biosynthesis bifunctional protein ArgJ, mitochondrial;Glutamate N-acetyltransferase;Amino-acid acetyltransferase;Arginine biosynthesis bifunctional protein ArgJ alpha chain;Arginine biosynthesis bifunctional protein ArgJ beta chain",ARG7,YMR062C,19,19,51.5,0,9709.900917
P53173,ER-derived vesicles protein ERV14,ERV14,YGL054C,1,1,10.9,2.32E-25,9712.200717
P46680,Actin-interacting protein 1,AIP1,YMR092C,24,24,66.5,0,9738.853929
P32454,"Aminopeptidase 2, mitochondrial",APE2,YKL157W,41,39,56.8,0,9740.251996
P10964,DNA-directed RNA polymerase I subunit RPA190,RPA190,YOR341W,61,61,47.3,0,9793.71643
P32352,C-8 sterol isomerase,ERG2,YMR202W,2,2,20.7,4.81E-109,9822.458386
P47001,Cell wall mannoprotein CIS3,CIS3,YJL158C,2,2,7.9,1.22E-08,9823.064462
P49626,60S ribosomal protein L4-B,RPL4B,YDR012W,10,2,44.8,2.32E-164,9971.469451
P32476,Squalene monooxygenase,ERG1,YGR175C,11,11,38.3,1.61E-271,9977.132221
P28495,F-actin-capping protein subunit alpha,CAP1,YKL007W,8,8,46.6,8.40E-102,9999.695406
P06101,Hsp90 co-chaperone Cdc37,CDC37,YDR168W,28,28,68.4,0,10034.22549
P02829,ATP-dependent molecular chaperone HSP82,HSP82,YPL240C,38,9,59.5,0,10044.2576
Q12032,"Altered inheritance of mitochondria protein 41, mitochondrial",AIM41,YOR215C,8,8,43.2,1.05E-34,10053.24729
P40016,26S proteasome regulatory subunit RPN3,RPN3,YER021W,21,21,61.8,0,10104.44683
P40327,26S protease regulatory subunit 4 homolog,RPT2,YDL007W,17,17,51,0,10147.36224
P32469,Diphthine synthase,DPH5,YLR172C,10,10,43.7,7.09E-114,10159.4721
Q02784,"Monothiol glutaredoxin-5, mitochondrial",GRX5,YPL059W,5,5,61.3,5.56E-83,10198.41386
P12962,Cap-associated protein CAF20,CAF20,YOR276W,6,6,44.7,3.76E-62,10202.58896
P32771,S-(hydroxymethyl)glutathione dehydrogenase,SFA1,YDL168W,17,17,51.6,1.73E-173,10203.27086
P21734,Ubiquitin-conjugating enzyme E2 1,UBC1,YDR177W,7,7,59.1,4.69E-160,10238.32635
P14904,Vacuolar aminopeptidase 1,LAP4,YKL103C,21,21,62.8,4.73E-292,10265.03208
P06208-2;P06208,2-isopropylmalate synthase,LEU4,YNL104C,12,9,34.8,3.60E-273,10272.46227
P30902,"ATP synthase subunit d, mitochondrial",ATP7,YKL016C,8,8,43.7,6.10E-48,10357.91972
P22147,5-3 exoribonuclease 1,KEM1,YGL173C,62,62,50.7,0,10372.32586
P30656,Proteasome component PRE2,PRE2,YPR103W,10,10,53.7,8.98E-127,10383.93683
P00812,Arginase,CAR1,YPL111W,14,14,64.9,4.19E-171,10403.38605
P53723,UPF0674 endoplasmic reticulum membrane protein YNR021W,,YNR021W,12,12,47.5,6.71E-250,10406.39304
P47096,"3-hydroxyanthranilate 3,4-dioxygenase",BNA1,YJR025C,7,7,54.2,3.05E-69,10409.05827
Q05359,Protein ERP1,ERP1,YAR002C-A,7,7,48.9,2.37E-67,10411.83868
Q05022,rRNA biogenesis protein RRP5,RRP5,YMR229C,74,74,56.2,0,10472.61661
Q01080,DNA-directed RNA polymerase I subunit RPA49,RPA49,YNL248C,13,13,55.2,2.43E-279,10516.02271
P47006,DNA-directed RNA polymerase I subunit RPA34,RPA34,YJL148W,11,11,55.8,4.59E-109,10522.76247
P53199,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",ERG26,YGL001C,13,13,52.4,1.49E-186,10567.59299
Q08723,26S proteasome regulatory subunit RPN8,RPN8,YOR261C,11,11,39.1,7.17E-178,10570.84177
P40010,Nuclear GTP-binding protein NUG1,NUG1,YER006W,20,20,45.4,1.54E-233,10599.58837
P38968,Protein transport protein SEC31,SEC31,YDL195W,35,35,45.2,0,10606.82017
P40582,Glutathione S-transferase 1,GTT1,YIR038C,8,8,41.5,4.74E-91,10631.32195
P47131,UPF0136 membrane protein YJR085C,,YJR085C,1,1,21.9,7.47E-43,10634.627
P04037,"Cytochrome c oxidase subunit 4, mitochondrial",COX4,YGL187C,7,7,57.4,5.58E-95,10685.95351
P00899,Anthranilate synthase component 1,TRP2,YER090W,14,14,43.8,5.54E-235,10705.70794
P40548,HSP70 co-chaperone SNL1,SNL1,YIL016W,6,6,57.2,5.93E-184,10709.82398
Q03940,RuvB-like protein 1,RVB1,YDR190C,15,15,48.6,7.31E-237,10720.40406
P87108,Mitochondrial import inner membrane translocase subunit TIM10,TIM10,YHR005C-A,8,8,97.8,2.68E-100,10765.01932
Q12160,Uncharacterized protein YPR063C,YPR063C,YPR063C,4,4,33.6,1.64E-31,10789.70319
Q06405,"ATP synthase subunit f, mitochondrial",ATP17,YDR377W,3,3,29.7,3.21E-09,10821.81716
Q08742,"Thiosulfate sulfurtransferase RDL2, mitochondrial",RDL2,YOR286W,7,7,67.8,3.24E-98,10844.91333
P53235,Eukaryotic translation initiation factor 2A,YGR054W,YGR054W,24,24,54,1.79E-293,10861.75583
P38523,"GrpE protein homolog, mitochondrial",MGE1,YOR232W,7,7,30.7,4.94E-127,10887.98573
Q04493,Prefoldin subunit 5,GIM5,YML094W,7,7,54,6.37E-68,10896.47833
P38325,Mitochondrial outer membrane protein OM14,OM14,YBR230C,6,6,74.6,7.87E-40,10918.96365
P32914,Transcription elongation factor SPT4,SPT4,YGR063C,3,3,39.2,5.54E-40,10939.17564
P35189,Transcription initiation factor TFIID subunit 14,TAF14,YPL129W,11,11,64.3,6.25E-172,10968.09461
P20449,ATP-dependent RNA helicase DBP5,DBP5,YOR046C,16,16,43.2,1.69E-195,10992.46856
Q12122,"Homocitrate synthase, mitochondrial",LYS21,YDL131W,17,8,59.3,0,11010.93839
P53507,Mitochondrial import receptor subunit TOM7,TOM7,YNL070W,1,1,21.7,3.57E-16,11035.40714
Q06151,m7GpppX diphosphatase,DCS1,YLR270W,14,14,46.3,1.14E-216,11040.04307
P21264,Phosphoribosylaminoimidazole carboxylase,ADE2,YOR128C,19,19,58,0,11045.60025
P54113,Bifunctional purine biosynthesis protein ADE16;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,ADE16,YLR028C,22,18,62.1,0,11105.26807
Q02196,Adenylyl-sulfate kinase,MET14,YKL001C,9,9,59.4,1.78E-115,11126.10871
P38986,L-asparaginase 1,ASP1,YDR321W,12,12,50.7,1.41E-144,11200.94118
P28834,"Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial",IDH1,YNL037C,11,11,61.9,5.80E-271,11206.36062
P32327,Pyruvate carboxylase 2,PYC2,YBR218C,31,17,34.7,0,11231.18363
P32419,"Malate dehydrogenase, peroxisomal",MDH3,YDL078C,16,16,66.2,1.55E-191,11234.1842
P32381,Actin-related protein 2,ARP2,YDL029W,12,12,41.7,1.18E-145,11254.26779
Q04062,26S proteasome regulatory subunit RPN9,RPN9,YDR427W,17,17,55.2,7.64E-282,11267.91041
P32457,Cell division control protein 3,CDC3,YLR314C,22,22,60.2,2.88E-297,11268.44097
P40961,Prohibitin-1,PHB1,YGR132C,12,12,65.9,0,11276.66806
Q03532,ATP-dependent RNA helicase HAS1,HAS1,YMR290C,17,17,47.5,8.30E-195,11278.82148
P32588,Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1,PUB1,YNL016W,5,5,20.1,4.55E-184,11281.53008
P09232,Cerevisin,PRB1,YEL060C,13,13,26.1,7.89E-205,11282.70865
P00927,"Threonine dehydratase, mitochondrial",ILV1,YER086W,17,17,42.7,0,11320.23238
P04076,Argininosuccinate lyase,ARG4,YHR018C,14,14,36.3,8.13E-218,11355.33299
Q12265,Ribose-phosphate pyrophosphokinase 5,PRS5,YOL061W,15,15,65.3,0,11410.35396
P47089,Translation machinery-associated protein 22,TMA22,YJR014W,7,7,47.5,9.14E-66,11452.87992
P37263,UPF0743 protein YCR087C-A,,YCR087C-A,8,8,61.4,9.50E-121,11469.9274
P52286,Suppressor of kinetochore protein 1,SKP1,YDR328C,7,7,47.4,1.34E-97,11498.72118
P22353,"54S ribosomal protein L8, mitochondrial",MRPL8,YJL063C,6,6,36.1,3.93E-51,11530.61683
P38841,Uncharacterized protein YHR138C,YHR138C,YHR138C,8,8,68.4,1.05E-73,11550.57834
P39533,Probable aconitate hydratase 2,ACO2,YJL200C,26,25,42.6,0,11638.30084
P53163,"54S ribosomal protein L12, mitochondrial",MNP1,YGL068W,8,8,57.2,1.09E-151,11646.51409
P14907,Nucleoporin NSP1,NSP1,YJL041W,41,41,72.1,0,11709.52597
P20447,ATP-dependent RNA helicase DBP3,DBP3,YGL078C,20,20,58.7,0,11713.33289
P40093,UPF0160 protein YER156C,YER156C,YER156C,12,12,50,2.34E-240,11718.89848
P32602,Alpha-soluble NSF attachment protein,SEC17,YBL050W,13,13,63.4,2.51E-204,11753.78479
P24783,ATP-dependent RNA helicase DBP2,DBP2,YNL112W,14,14,38.8,6.34E-177,11780.00081
P10614,Lanosterol 14-alpha demethylase,ERG11,YHR007C,13,13,35.8,2.48E-244,11797.06213
P32835,GTP-binding nuclear protein GSP1/CNR1,GSP1,YLR293C,11,1,47.5,3.10E-286,11820.77096
P39101,Protein CAJ1,CAJ1,YER048C,23,23,62.9,4.34E-219,11867.46233
P33201,mRNA turnover protein 4,MRT4,YKL009W,8,8,39,1.33E-79,11892.83116
P32379,Proteasome component PUP2,PUP2,YGR253C,7,7,35.8,1.44E-114,11961.3752
P53312,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial",LSC2,YGR244C,26,26,67.2,0,11992.60243
P32178,Chorismate mutase,ARO7,YPR060C,12,12,65.2,1.84E-92,12061.17768
P00127,Cytochrome b-c1 complex subunit 6,QCR6,YFR033C,3,3,36.1,1.03E-166,12095.21565
P00729,Carboxypeptidase Y,PRC1,YMR297W,16,16,47,0,12123.01205
Q04697,Glucose-signaling factor 2,GSF2,YML048W,11,11,47.4,9.40E-238,12188.60177
P19881,4-nitrophenylphosphatase,PHO13,YDL236W,16,16,62.2,1.40E-190,12203.9291
Q12434,Rho GDP-dissociation inhibitor,RDI1,YDL135C,9,9,73.3,5.28E-147,12395.06117
P01120,Ras-like protein 2,RAS2,YNL098C,14,14,62.7,1.96E-229,12417.3985
P32529,DNA-directed RNA polymerase I subunit RPA12,RPA12,YJR063W,4,4,73.6,9.01E-59,12431.73643
P23180,Probable oxidoreductase AIM17,AIM17,YHL021C,14,14,41.9,4.33E-303,12450.19662
P18899,Stress protein DDR48,DDR48,YMR173W,13,13,67.2,7.54E-253,12450.53076
P32563,"V-type proton ATPase subunit a, vacuolar isoform",VPH1,YOR270C,15,15,25.7,0,12476.08859
P38902,DNA-directed RNA polymerase II subunit RPB11,RPB11,YOL005C,7,7,62.5,4.21E-53,12490.31451
Q04013,Mitochondrial DNA replication protein YHM2,YHM2,YMR241W,12,12,53.2,1.14E-179,12505.18252
P38689,Ribose-phosphate pyrophosphokinase 3,PRS3,YHL011C,8,7,38.8,4.80E-137,12505.74486
P39111,V-type proton ATPase subunit F,VMA7,YGR020C,3,3,40.7,1.04E-66,12514.68277
P09733,Tubulin alpha-1 chain,TUB1,YML085C,10,7,47.2,0,12561.22389
Q02046,Methylenetetrahydrofolate dehydrogenase [NAD(+)],MTD1,YKR080W,17,17,62.8,1.38E-187,12619.08638
P32074,Coatomer subunit gamma,SEC21,YNL287W,27,27,46.4,0,12654.33613
Q12314,Uncharacterized protein YOR021C,,YOR021C,13,13,66.7,1.15E-79,12842.57109
P39926,Protein SSO2,SSO2,YMR183C,9,8,52.9,1.00E-273,12877.05207
P40029,Peptide methionine sulfoxide reductase,MXR1,YER042W,10,10,81.5,5.04E-166,12880.57589
Q00764,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit",TPS1,YBR126C,9,9,30.7,3.94E-241,12912.71381
P05745,60S ribosomal protein L36-A,RPL36A,YMR194W,5,2,41,4.24E-22,12943.17153
P38205,Multisite-specific tRNA:(cytosine-C(5))-methyltransferase,NCL1,YBL024W,33,33,65.5,0,12960.49237
Q04773,Uncharacterized protein YMR074C,,YMR074C,5,5,37.2,4.01E-71,12980.58616
Q03104,Meiotic sister chromatid recombination protein 1,MSC1,YML128C,26,26,57.7,0,13011.09895
P16622,"Ferrochelatase, mitochondrial",HEM15,YOR176W,16,16,70.2,0,13021.38728
Q04432,Probable chaperone protein HSP31,HSP31,YDR533C,10,10,78.9,3.80E-149,13046.79391
P40347,Low molecular weight phosphotyrosine protein phosphatase,LTP1,YPR073C,6,6,55.3,1.03E-100,13103.65748
P21242,Proteasome component C1,PRE10,YOR362C,8,8,44.1,1.68E-85,13126.40565
P39730,Eukaryotic translation initiation factor 5B,FUN12,YAL035W,35,35,42.7,0,13234.72644
P36018,GTP-binding protein YPT52,YPT52,YKR014C,11,11,73.5,1.01E-191,13280.62761
P43535,Protein GCN20,GCN20,YFR009W,28,28,53.5,0,13281.1379
P00431,"Cytochrome c peroxidase, mitochondrial",CCP1,YKR066C,14,14,52.4,1.87E-153,13320.0654
P14843,"Phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited",ARO3,YDR035W,18,17,61.6,1.25E-161,13322.12622
P28319,Cell wall protein CWP1,CWP1,YKL096W,8,8,37.7,3.96E-75,13331.8575
P38555,GTP-binding protein YPT31/YPT8,YPT31,YER031C,9,8,74,5.90E-188,13338.91334
Q86ZR7,Putative uncharacterized hydrolase YKL033W-A,YKL033W-A,YKL033W-A,14,14,85.6,5.68E-243,13358.16203
Q12178,Cytosine deaminase,FCY1,YPR062W,7,7,79.7,3.54E-153,13372.51674
Q12165,"ATP synthase subunit delta, mitochondrial",ATP16,YDL004W,5,4,78.1,2.49E-148,13397.20571
P00890,"Citrate synthase, mitochondrial",CIT1,YNR001C,14,12,42,3.09E-196,13451.63653
Q05515,Survival factor 1,SVF1,YDR346C,18,18,44.7,6.62E-253,13560.00574
P41811,Coatomer subunit beta,SEC27,YGL137W,31,31,61.6,0,13583.53537
P43123,UDP-N-acetylglucosamine pyrophosphorylase,QRI1,YDL103C,33,33,80.1,0,13611.28673
Q12250,26S proteasome regulatory subunit RPN5,RPN5,YDL147W,20,20,58.2,1.27E-253,13639.48174
P25343,Reduced viability upon starvation protein 161,RVS161,YCR009C,13,13,67.2,4.51E-207,13653.53086
P28000,DNA-directed RNA polymerases I and III subunit RPAC2,RPC19,YNL113W,7,7,90.1,0,13766.73433
P38075,Pyridoxamine 5-phosphate oxidase,PDX3,YBR035C,7,7,35.1,1.88E-94,13852.15415
P38972,Phosphoribosylformylglycinamidine synthase,ADE6,YGR061C,45,45,57.1,0,13867.56851
P53852,Cysteine--tRNA ligase,,YNL247W,35,35,54.5,0,13881.03406
P29704,Squalene synthase,ERG9,YHR190W,14,14,37.4,9.42E-189,13911.82455
Q02725,Vacuolar transporter chaperone 3,VTC3,YPL019C,27,26,43.4,0,13922.92459
P32497,Eukaryotic translation initiation factor 3 subunit C,NIP1,YMR309C,26,26,39.2,0,13988.64095
P11412,Glucose-6-phosphate 1-dehydrogenase,ZWF1,YNL241C,21,21,50.7,4.68E-211,14091.91182
P07256,"Cytochrome b-c1 complex subunit 1, mitochondrial",COR1,YBL045C,17,17,49.9,0,14122.59036
Q12306,Ubiquitin-like protein SMT3,SMT3,YDR510W,2,2,26.7,2.66E-06,14194.72835
Q04304,UPF0659 protein YMR090W,,YMR090W,13,13,80.2,9.93E-238,14228.3572
P07213,Mitochondrial import receptor subunit TOM70,TOM70,YNL121C,33,33,64.5,0,14234.83576
P17076,60S ribosomal protein L8-A,RPL8A,YHL033C,21,6,76.6,0,14295.04947
P08566,Pentafunctional AROM polypeptide;3-dehydroquinate synthase;3-phosphoshikimate 1-carboxyvinyltransferase;Shikimate kinase;3-dehydroquinate dehydratase;Shikimate dehydrogenase,ARO1,YDR127W,63,63,48.8,0,14411.30679
A5Z2X5,UPF0495 protein YPR010C-A,YPR010C-A,YPR010C-A,3,3,69.4,9.78E-24,14432.94831
P40202,Superoxide dismutase 1 copper chaperone,CCS1,YMR038C,12,12,73.9,1.48E-227,14445.1569
P17891,Clathrin light chain,CLC1,YGR167W,14,14,48.5,5.93E-139,14537.86325
P33297,26S protease regulatory subunit 6A,RPT5,YOR117W,18,18,65,0,14578.08849
Q01519,Cytochrome c oxidase subunit 6B,COX12,YLR038C,6,6,88,8.70E-72,14613.04896
P39517,ATP-dependent RNA helicase DHH1,DHH1,YDL160C,19,19,50.4,0,14744.63001
P46367,"Potassium-activated aldehyde dehydrogenase, mitochondrial",ALD4,YOR374W,20,17,48.6,2.13E-270,14745.31619
P08417,"Fumarate hydratase, mitochondrial",FUM1,YPL262W,16,16,46.9,1.86E-285,14825.344
P07703,DNA-directed RNA polymerases I and III subunit RPAC1,RPC40,YPR110C,10,10,49.3,1.87E-170,14864.42364
Q99258,"3,4-dihydroxy-2-butanone 4-phosphate synthase",RIB3,YDR487C,4,4,35.1,1.23E-83,14892.79977
P10869,Aspartokinase,HOM3,YER052C,24,24,65.3,0,14902.53588
P00937,Anthranilate synthase component 2;Glutamine amidotransferase;Indole-3-glycerol phosphate synthase,TRP3,YKL211C,21,21,74.4,0,14907.63842
P53261,Pescadillo homolog,NOP7,YGR103W,24,24,40,0,14927.9896
P22517,Calcium/calmodulin-dependent protein kinase II,CMK2,YOL016C,20,20,52.8,9.38E-242,14933.0549
P38998,"Saccharopine dehydrogenase [NAD(+), L-lysine-forming]",LYS1,YIR034C,12,12,57.1,1.32E-263,14974.45005
