Protein IDs,Protein name,Gene name,Uniprot,Peptides,Razor Peptides,Unique Peptides,Sequence Coverage [%],Mol. Weight [kDa],PEP,Intensity Exp1,Intensity Exp2,Intensity Exp3,,
YML123C,Inorganic phosphate transporter PHO84,PHO84;YM7056.03C;YML123C,P25297,2,2,2,5.1,64.4,9.6E-106,5.0E+06,5.6E+06,0.0E+00,,
YJL164C;YKL166C,cAMP-dependent protein kinase type 1;cAMP-dependent protein kinase type 3;CDC25-suppressing protein kinase;PK-25,J0541;PKA1;PKA3;SRA3;TPK1;TPK3;YJL164C;YKL166C;YKL630,P05986;P06244;P11595;Q2VQW1,5,5,4,20.7,46.1,1.8E-22,8.3E+06,5.6E+06,0.0E+00,,
YML081C-A,"ATP synthase subunit J, mitochondrial;ATPase synthase I subunit",ATP18;YML081BC;YML081C-A,P81450,3,3,3,66.1,6.7,3.0E-36,7.4E+06,5.5E+06,0.0E+00,,
YDL188C,Serine/threonine-protein phosphatase PP2A-2 catalytic subunit,D1271;PPH22;SIS4;YDL188C,P23595,3,2,2,11.7,43.0,1.3E-57,3.4E+06,5.4E+06,0.0E+00,,
YFR049W,"37S ribosomal protein YMR-31, mitochondrial",YFR049W;YMR31,P19955,4,4,4,37.4,13.7,3.4E-08,1.6E+06,5.4E+06,0.0E+00,,
YJL098W,SIT4-associating protein SAP185,J0840;SAP185;YJL098W,P40856,2,2,2,4.5,121.4,1.1E-11,2.7E+06,5.3E+06,0.0E+00,,
YLR410W-B;YLR410W-A,Capsid protein;Gag-p4;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2 TYA-TYB polyprotein;Transposon Ty2-LR1 Gag polyprotein;Transposon Ty2-LR1 Gag-Pol polyprotein;Ty2 protease;TY2A-TY2B,G4141;L9931.7b;TY2A-GR1;TY2A-LR1;TY2B-LR1;YGR038C-E;YGRCTy2-1 GAG;YLR410W-A;YLR410W-B;YLRWTy2-1 GAG;YLRWTy2-1 POL,P0C2J3;P0C2J4,24,2,0,18.6,202.1,0.0E+00,0.0E+00,5.3E+06,0.0E+00,,
YPR073C,Low molecular weight cytosolic acid phosphatase;Low molecular weight phosphotyrosine protein phosphatase;PTPase,LTP1;YP9499.28C;YPR073C,P40347,2,2,2,20.5,18.7,3.1E-04,7.0E+06,5.2E+06,0.0E+00,,
YHR013C,Ard1p;Arrest-defective protein 1;N-terminal acetyltransferase A complex catalytic subunit ARD1,ARD1;YHR013C,D3DKV8;P07347,4,4,4,18.1,27.6,1.5E-85,9.5E+06,5.1E+06,0.0E+00,,
YLR454W,"Found in mitochondrial proteome protein 27;Protein FMP27, mitochondrial",FMP27;YLR454W,Q06179,9,9,9,3.3,303.5,1.9E-22,6.1E+06,5.0E+06,0.0E+00,,
YBL056W,Protein phosphatase 2C homolog 3,PTC3;YBL0511;YBL0513;YBL056W,P34221;Q92330,2,2,2,9,51.4,1.9E-60,4.1E+06,4.9E+06,0.0E+00,,
YLR017W,Multicopy enhancer of UAS2,L1595;MEU1;YLR017W,Q06899;Q07938,3,3,3,15.7,37.9,2.0E-41,1.1E+07,4.9E+06,0.0E+00,,
YBR065C,Extracellular mutant protein 2;Pre-mRNA-splicing factor SLT11;Synthetic lethality with U2 protein 11,ECM2;SLT11;YBR0614;YBR065C,P38241;P89497,2,2,2,4.9,40.9,5.2E-04,9.6E+05,4.9E+06,0.0E+00,,
YLR419W,Putative ATP-dependent RNA helicase YLR419W,YLR419W,Q06698,10,10,10,9.2,163.0,3.1E-40,6.8E+06,4.9E+06,0.0E+00,,
YLR086W,Structural maintenance of chromosomes protein 4,L9449.5;SMC4;YLR086W,Q12267,2,2,2,1,162.2,1.5E-03,6.6E+05,4.9E+06,0.0E+00,,
YDL137W,ADP-ribosylation factor 2,ARF2;D2165;YDL137W,A2TBP3;P19146,6,1,1,55.8,20.7,8.1E-160,0.0E+00,4.7E+06,0.0E+00,,
YOR116C,DNA-directed RNA polymerase III largest subunit;DNA-directed RNA polymerase III subunit RPC1;RNA polymerase III subunit C160,O3254;RPC1;RPC160;RPO31;YOR116C;YOR3254C,P04051,9,9,9,8.3,162.3,1.3E-48,1.7E+07,4.7E+06,0.0E+00,,
YLR364W,Glutaredoxin-like protein YLR364W,YLR364W,Q05926,4,4,4,43.1,12.5,1.7E-08,4.7E+06,4.7E+06,0.0E+00,,
YHR112C,Putative uncharacterized protein;Uncharacterized trans-sulfuration enzyme YHR112C,YHR112C,D3DL62;P38716,3,3,3,9.5,42.4,6.1E-19,0.0E+00,4.4E+06,0.0E+00,,
YDR312W;YHR066W,"Constituent of 66S pre-ribosomal particles, required for ribosomal large subunit maturation; functionally redundant with Ssf2p; member of the Brix family;Ribosome biogenesis protein SSF1;Ribosome biogenesis protein SSF2",D9740.2;SSF1;SSF2;YDR312W;YHR066W,D3DL15;P38789;Q12153,2,2,2,4.4,51.9,3.0E-09,1.8E+07,4.3E+06,0.0E+00,,
YER094C,Beta 3 subunit of the 20S proteasome involved in ubiquitin-dependent catabolism; human homolog is subunit C10;Macropain subunit PUP3;Multicatalytic endopeptidase complex subunit PUP3;Proteasome component PUP3,PUP3;YER094C,D3DM02;P25451,2,2,2,19.5,22.6,9.9E-28,0.0E+00,4.3E+06,0.0E+00,,
YFR040W,SIT4-associating protein SAP155,SAP155;YFR040W,P43612;Q96VG4,4,4,4,6.3,115.0,4.6E-100,0.0E+00,4.3E+06,0.0E+00,,
YIL016W,HSP70 co-chaperone SNL1;Suppressor of NUP116-C lethal,SNL1;YIL016W,P40548,3,3,3,39.6,18.3,4.3E-12,2.5E+06,4.2E+06,0.0E+00,,
YMR214W,DnaJ-related protein SCJ1,SCJ1;YM8261.08;YMR214W,P25303,4,4,4,15.6,41.5,9.3E-54,7.9E+06,4.2E+06,0.0E+00,,
YNL108C,Uncharacterized protein YNL108C,N1962;YNL108C,P53929,3,3,3,20.7,30.7,1.4E-31,6.9E+06,4.1E+06,0.0E+00,,
YBR093C,P60;Repressible acid phosphatase,PHO5;YBR0814;YBR093C,P00635,4,2,2,12.8,52.9,4.8E-79,0.0E+00,4.1E+06,0.0E+00,,
YOR163W,"Diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase;Diadenosine and diphosphoinositol polyphosphate phosphohydrolase 1;Diphosphoinositol polyphosphate phosphohydrolase DDP1",DDP1;O3575;YOR163W,Q99321,2,2,2,19.7,21.6,2.2E-09,0.0E+00,4.1E+06,0.0E+00,,
YKL206C,Alpha-1-proteinase inhibitor-degradation deficient protein 66;Proteasome assembly chaperone 2;Proteasome biogenesis-associated protein 2,ADD66;PBA2;POC2;YKL206C,P36040,3,3,3,16.1,30.7,1.8E-20,4.1E+06,4.1E+06,0.0E+00,,
YER126C,NOP7-associated protein 2;Nsa2p;Ribosome biogenesis protein NSA2,NSA2;SYGP-ORF47;YER126C,D3DM32;P40078,8,8,8,36,29.7,7.1E-36,4.1E+07,4.1E+06,0.0E+00,,
YKL065W-A,Uncharacterized protein YKL065W-A,YKL065W-A,Q2V2P2,1,1,1,15.1,8.5,1.6E-10,0.0E+00,4.0E+06,0.0E+00,,
YMR087W,Probable ADP-ribose 1''-phosphate phosphatase YML087W,YM9582.12;YMR087W,Q04299,2,2,2,8.8,32.1,5.3E-04,0.0E+00,4.0E+06,0.0E+00,,
YOR280C,Family of serine hydrolases 3,FSH3;YOR280C,Q99369,2,2,2,9.4,30.4,3.0E-06,0.0E+00,4.0E+06,0.0E+00,,
YER166W;REV__YFL038C,"Aminophospholipid translocase (Flippase) that localizes primarily to the plasma membrane; contributes to endocytosis, protein transport and cell polarity; type 4 P-type ATPase;Probable phospholipid-transporting ATPase DNF1",DNF1;SYGP-ORF7;YER166W,D3DM74;P32660,7,7,5,5.3,177.8,1.8E-49,1.3E+06,4.0E+06,0.0E+00,,
YNL070W,Mitochondrial import receptor subunit TOM7;Translocase of outer membrane 7 kDa subunit,MOM7;N2378;TOM7;YNL070W,P53507,1,1,1,21.7,6.9,5.4E-43,0.0E+00,4.0E+06,0.0E+00,,
YLR292C,Sec62/63 complex 23 kDa subunit;Translocation protein SEC72,L8003.18;SEC67;SEC72;SIM2;YLR292C,P39742,4,4,4,33.7,21.6,2.1E-92,4.2E+06,3.9E+06,0.0E+00,,
YNL087W,Tricalbin-2,N2250;TCB2;YNL087W,P48231;Q45TY9,10,10,10,11.9,132.5,1.2E-26,9.6E+06,3.9E+06,0.0E+00,,
YKR062W,Factor A 43 kDa subunit;Transcription factor A small subunit;Transcription initiation factor IIE subunit beta,TFA2;YKR062W,P36145;P42569,9,9,9,34.8,37.0,1.8E-47,1.9E+07,3.8E+06,0.0E+00,,
YLR241W,Uncharacterized membrane protein YLR241W,YLR241W,Q06538,4,4,4,7.2,89.3,2.0E-58,2.0E+06,3.8E+06,0.0E+00,,
YNL251C,Protein NRD1,N0868;NRD1;YNL251C,P53617,5,5,5,14.6,63.9,4.3E-66,7.2E+06,3.7E+06,0.0E+00,,
YBL032W,KH domain-containing protein YBL032W,HEK2;YBL032W;YBL0418,P38199,7,7,7,26.5,41.7,5.9E-52,7.3E+06,3.7E+06,0.0E+00,,
YGL241W,114 kDa karyopherin;Importin subunit beta-5;Karyopherin subunit beta-5;Karyopherin-114,HRC1004;KAP114;YGL241W,P53067,9,9,9,11.5,113.9,3.1E-20,3.8E+06,3.7E+06,0.0E+00,,
YOL101C,ADIPOR-like receptor IZH4;Implicated in zinc homeostasis protein 4,IZH4;YOL101C,Q6B2Z2;Q99393,2,2,2,6.7,36.6,1.6E-21,1.7E+06,3.5E+06,0.0E+00,,
YKL167C,"54S ribosomal protein MRP49, mitochondrial",MRP49;YKL167C;YKL631,P32388,2,2,2,26.3,16.0,1.1E-07,0.0E+00,3.4E+06,0.0E+00,,
YDL121C,Uncharacterized protein YDL121C,YDL121C,Q07541,3,3,3,26.2,16.9,8.5E-59,3.0E+06,3.4E+06,0.0E+00,,
YHR003C,Putative uncharacterized protein;Uncharacterized protein YHR003C,YHR003C,D3DKU6;P38756,6,6,6,20.5,48.9,6.6E-46,5.7E+06,3.3E+06,0.0E+00,,
YKL214C,Uncharacterized RNA-binding protein YKL214C,YKL214C,P36036,4,4,4,30,23.8,4.7E-21,8.0E+06,3.3E+06,0.0E+00,,
YJR132W,Karyopherin-119;Nonsense-mediated mRNA decay protein 5,J2112;KAP119;NMD5;YJR132W,P46970,5,5,4,4.6,120.0,4.0E-30,7.9E+04,3.3E+06,0.0E+00,,
YBR288C,Adapter-related protein complex 3 mu subunit;AP-3 adapter complex mu3A subunit;AP-3 complex subunit mu;Mu3-adaptin;Mu-adaptin 3A,APM3;YBR2035;YBR288C;YKS6,P38153,4,4,4,10.4,54.9,8.2E-43,0.0E+00,3.2E+06,0.0E+00,,
YBL051C,Psi inducibility protein 4;RNA-binding protein PIN4,MDT1;PIN4;YBL0506;YBL0516;YBL051C,P34217,3,3,3,8.5,73.8,2.1E-105,4.5E+06,3.1E+06,0.0E+00,,
YDR257C,Ribosomal N-lysine methyltransferase 4;SET domain-containing protein 7,RKM4;RMS1;SET7;YD9320A.07C;YDR257C,Q07015;Q12504,4,4,4,9.5,57.3,2.0E-64,0.0E+00,3.0E+06,0.0E+00,,
YEL036C,Aminonitrophenyl propanediol resistance protein;Anp1p;Mannan polymerase II complex ANP1 subunit,ANP1;GEM3;SYGP-ORF28;YEL036C,D3DLL3;P32629,4,4,4,12.4,58.2,2.7E-15,6.9E+06,3.0E+06,0.0E+00,,
YJR086W,Guanine nucleotide-binding protein subunit gamma,J1866;STE18;YJR086W,P18852,1,1,1,20.9,12.6,1.5E-13,3.0E+06,2.9E+06,0.0E+00,,
YDR089W,Uncharacterized protein YDR089W,D4495;YD8554.22;YDR089W,P38966;Q03192,3,3,3,5.3,98.7,1.6E-57,0.0E+00,2.9E+06,0.0E+00,,
YMR194W,60S ribosomal protein L36-A;L39;YL39,RPL36A;RPL39A;YM9646.06;YMR194W,P05745,6,2,2,52,11.1,3.0E-18,0.0E+00,2.9E+06,0.0E+00,,
YOR377W,Alcohol O-acetyltransferase 1,ATF1;YOR377W,P40353;Q08901,4,4,4,12,61.0,1.8E-227,0.0E+00,2.9E+06,0.0E+00,,
YKL191W,Diphthamide biosynthesis protein 2;Diphtheria toxin resistance protein 2,DPH2;YKL191W,P32461,2,2,2,6.4,59.8,2.6E-20,0.0E+00,2.9E+06,0.0E+00,,
YMR158W,"37S ribosomal protein S8, mitochondrial",MRPS8;YM8520.07;YMR158W,Q03799,4,4,4,36.8,17.5,2.3E-10,1.2E+07,2.9E+06,0.0E+00,,
YHR088W,"Nucleolar protein involved in the assembly and export of the large ribosomal subunit; constituent of 66S pre-ribosomal particles; contains a sigma(70)-like motif, which is thought to bind RNA;Ribosome biogenesis protein RPF1;Ribosome production factor 1",RPF1;YHR088W,D3DL40;P38805,5,5,5,25.4,35.1,2.3E-29,1.0E+07,2.8E+06,0.0E+00,,
YDR213W,Mannoprotein regulation by oxygen protein 4;Sterol uptake control protein 2,MOX4;UPC2;YD8142.14;YD8142B.05;YDR213W,Q12151,4,4,4,7.9,100.3,2.6E-26,0.0E+00,2.8E+06,0.0E+00,,
YKR070W,Uncharacterized protein YKR070W,YKR070W,P36151,6,6,6,24.7,39.4,9.9E-25,5.2E+06,2.8E+06,0.0E+00,,
YNL115C,Uncharacterized vacuolar membrane protein SCY_4679;Uncharacterized vacuolar membrane protein YNL115C,N1929;SCY_4679;YNL115C,B0KZS0;P53925;Q6B2V3,3,3,3,8.9,74.0,1.2E-08,0.0E+00,2.8E+06,0.0E+00,,
YBR081C,Transcriptional activator SPT7,SPT7;YBR0739;YBR081C,P35177,3,3,3,3.2,152.6,4.1E-06,3.3E+06,2.7E+06,0.0E+00,,
YDL045W-A,"37S ribosomal protein MRP10, mitochondrial;YmS-T",MRP10;YDL045W-A,O75012,1,1,1,10.5,10.7,7.8E-03,0.0E+00,2.7E+06,0.0E+00,,
YKL165C,GPI ethanolamine phosphate transferase 1;Morphogenesis checkpoint-dependent protein 4;Supersecretion of u-PA protein 21,FSR2;MCD4;SSU21;YKL165C;YKL619;ZRG16,P36051,3,3,3,4.8,105.7,9.7E-69,3.5E+06,2.7E+06,0.0E+00,,
YDR465C,Arginine N-methyltransferase 2,RMT2;YDR465C,Q03305,3,3,3,10.2,47.5,2.5E-19,8.9E+06,2.7E+06,0.0E+00,,
YHR132C,Ecm14p;Extracellular mutant protein 14;Protein ECM14,ECM14;YHR132C,D3DL80;P38836,2,2,2,6.3,49.8,2.8E-18,2.6E+07,2.7E+06,0.0E+00,,
YLR114C,APL2 VPS1 synthetic lethal protein 9;Late secretory pathway protein AVL9,AVL9;L2941;YLR114C,Q12500,5,5,5,11.4,86.4,6.6E-86,5.9E+06,2.6E+06,0.0E+00,,
YGL172W,Nuclear pore protein NUP49/NSP49;Nucleoporin NUP49/NSP49,G1648;NSP49;NUP49;YGL172W,Q02199,2,2,2,10.2,49.1,1.6E-49,1.8E+06,2.6E+06,0.0E+00,,
YGR277C,Uncharacterized protein YGR277C,YGR277C,P53332,3,3,3,15.4,34.3,3.4E-15,3.7E+06,2.6E+06,0.0E+00,,
YIL048W,Probable phospholipid-transporting ATPase NEO1,NEO1;YIL048W,P40527,2,2,2,2.9,130.2,2.7E-63,0.0E+00,2.6E+06,0.0E+00,,
YBR059C,Serine/threonine-protein kinase AKL1,AKL1;YBR0519;YBR059C,P38080,4,4,4,4,124.0,2.7E-08,0.0E+00,2.6E+06,0.0E+00,,
YBL035C,DNA polymerase alpha subunit B;DNA polymerase alpha:primase complex p86 subunit;DNA polymerase I subunit B;DNA polymerase-primase complex p74 subunit,POL12;YBL035C;YBL0414,P38121,5,5,5,10.9,78.8,2.7E-95,4.0E+06,2.6E+06,0.0E+00,,
YKR021W,UPF0675 protein YKR021W,YKR021W,P36117,5,5,5,6.1,102.5,1.2E-05,0.0E+00,2.6E+06,0.0E+00,,
YDR435C,Leucine carboxyl methyltransferase 1;Protein phosphatase methyltransferase 1,PPM1;YDR435C,Q04081,3,3,3,14.9,37.7,2.7E-07,0.0E+00,2.6E+06,0.0E+00,,
YGR172C,Protein transport protein YIP1;YPT-interacting protein 1,YGR172C;YIP1,P53039,1,1,1,8.9,27.1,1.4E-27,1.2E+06,2.5E+06,0.0E+00,,
YOR094W,ADP-ribosylation factor 3,ARF3;YOR094W;YOR3172W,P40994,3,3,3,18.6,20.7,1.1E-08,5.9E+05,2.5E+06,0.0E+00,,
YGL100W,Nuclear pore protein SEH1;Nucleoporin SEH1;SEC13 homolog 1,SEH1;YGL100W,P53011,2,2,2,7.2,39.1,1.1E-03,1.1E+07,2.4E+06,0.0E+00,,
YGR233C,CDK inhibitor PHO81;Phosphate system positive regulatory protein PHO81,G8567;PHO81;YGR233C,P17442;Q06887,8,8,8,6.9,134.0,5.6E-46,8.3E+06,2.4E+06,0.0E+00,,
YPR114W,Uncharacterized TLC domain-containing protein YPR114W,YPR114W,Q06107,2,2,2,7,36.8,1.8E-04,0.0E+00,2.3E+06,0.0E+00,,
YER159C,Bur6p;Negative cofactor 2 complex subunit alpha;Transcription repressor BUR6,BUR6;NCB1;YER159C,D3DM66;P40096,2,2,2,22.5,15.5,6.3E-11,2.7E+06,2.3E+06,0.0E+00,,
YKL045W,DNA polymerase alpha:primase complex p58 subunit;DNA primase 58 kDa subunit;DNA primase large subunit,PRI2;YKL045W;YKL258,P20457,1,1,1,3.4,62.3,4.6E-22,2.0E+06,2.3E+06,0.0E+00,,
YPR159W,Beta-glucan synthesis-associated protein KRE6;Killer toxin-resistance protein 6,CWH48;KRE6;YPR159W,P32486;Q06472,1,1,1,4.6,80.1,2.0E-03,0.0E+00,2.3E+06,0.0E+00,,
YOL066C,"Bifunctional protein RIB2;Diaminohydroxyphosphoribosylaminopyrimidine deaminase;Riboflavin-specific deaminase;tRNA pseudouridine synthase 8, cytoplasmic;tRNA pseudouridylate synthase 8;tRNA-uridine isomerase 8",PUS8;RIB2;YOL066C,Q12362,1,1,1,3.9,67.0,2.6E-06,0.0E+00,2.3E+06,0.0E+00,,
YJL029C,Vacuolar protein sorting-associated protein 53,J1258;VPS53;YJL029C,P47061,3,3,3,4.3,95.4,1.1E-08,5.4E+05,2.3E+06,0.0E+00,,
YIR007W,Uncharacterized glycosyl hydrolase YIR007W,YIB7W;YIR007W,P40566,3,3,3,7.7,87.0,6.1E-63,0.0E+00,2.2E+06,0.0E+00,,
YGR087C,Pyruvate decarboxylase isozyme 3,PDC6;YGR087C,P26263,11,4,4,19.4,61.6,3.1E-260,0.0E+00,2.2E+06,0.0E+00,,
YPL269W,Cortical protein KAR9;Karyogamy protein KAR9,KAR9;YPL269W,P32526;Q08982,1,1,1,2.3,74.2,2.6E-01,0.0E+00,2.1E+06,0.0E+00,,
YOR074C,Thymidylate synthase,CDC21;TMP1;YOR074C;YOR29-25,P06785;Q12694,5,5,5,17.8,35.0,1.1E-77,6.1E+06,2.1E+06,0.0E+00,,
YMR061W,mRNA 3'-end-processing protein RNA14,RNA14;YM9796.14;YMR061W,P25298,5,5,5,13.3,80.0,1.4E-47,5.3E+06,2.1E+06,0.0E+00,,
YDR498C,Protein transport protein SEC20,D9719.4;SEC20;YDR498C,P28791,1,1,1,5.5,43.9,6.5E-75,0.0E+00,2.1E+06,0.0E+00,,
YJL122W,Ribosome biogenesis protein ALB1,ALB1;J0723;YJL122W,P47019,3,3,3,26.9,19.3,1.1E-116,1.8E+06,2.1E+06,0.0E+00,,
YGR235C,Uncharacterized protein YGR235C,G8575;YGR235C,P50087,1,1,1,8.6,26.9,5.2E-12,7.6E+06,2.0E+06,0.0E+00,,
YBL037W,Alpha-adaptin;AP-2 complex subunit alpha;Clathrin assembly protein complex 2 alpha large chain;Clathrin assembly protein large alpha chain,APL3;YBL037W;YBL0412,P38065,8,8,8,11.1,115.0,7.3E-166,2.2E+06,2.0E+06,0.0E+00,,
YMR238W,"Endo-alpha-1->6-D-mannanase DFG5;Mannan endo-1,6-alpha-mannosidase DFG5",DFG5;YM9959.20;YMR238W,Q05031,1,1,1,3.7,50.5,8.5E-09,2.9E+06,2.0E+06,0.0E+00,,
YBR002C,Dehydrodolichyl diphosphate synthase,RER2;YBR002C;YBR0107,P35196,3,3,3,15.7,32.7,3.8E-52,2.6E+06,2.0E+06,0.0E+00,,
YMR323W;YOR393W;YPL281C,2-phospho-D-glycerate hydro-lyase;2-phosphoglycerate dehydratase;Enolase-related protein 1/2;Enolase-related protein 3,ERR1;ERR2;ERR3;YM9924.15;YMR323W;YOR393W;YPL281C,P42222;Q12007;Q7LGJ4,2,2,2,6.2,47.3,2.1E-45,0.0E+00,2.0E+06,0.0E+00,,
YPL016W,Regulatory protein GAM3;SWI/SNF chromatin-remodeling complex subunit SWI1;SWI/SNF complex subunit SWI1;Transcription regulatory protein ADR6;Transcription regulatory protein SWI1,ADR6;GAM3;LPA1;SWI1;YPL016W,P09547,3,3,3,2.7,147.9,1.1E-37,7.3E+05,2.0E+06,0.0E+00,,
YDR508C,High-affinity glutamine permease,D9719.14;GNP1;YDR508C,P48813,4,4,4,8.3,73.6,8.0E-48,1.1E+07,2.0E+06,0.0E+00,,
YDR038C;YDR039C;YDR040C,Sodium transport ATPase 1;Sodium transport ATPase 2;Sodium transport ATPase 5,"ENA1;ENA2;ENA5;ENA6;HOR6;PMR2;PMR2,YD9673.10c;PMR2A;PMR2B;YD6888.02C;YDR038C;YDR039C;YDR040C",P13587;P89901;Q01896;Q12691,5,5,5,5.9,120.3,8.7E-120,1.0E+07,1.9E+06,0.0E+00,,
YIL154C,Sugar utilization regulatory protein IMP2,IMP2;IMP2';YIL154C,P32351,2,2,2,10.1,39.1,5.2E-04,0.0E+00,1.9E+06,0.0E+00,,
YBL033C,GTP cyclohydrolase II;GTP cyclohydrolase-2,RIB1;YBL033C;YBL0417,P38066,1,1,1,5.8,38.3,2.4E-03,0.0E+00,1.9E+06,0.0E+00,,
YDL117W,Cytokinesis protein 3,CYK3;YDL117W,Q07533,1,1,1,2.7,100.6,7.6E-03,0.0E+00,1.9E+06,0.0E+00,,
YJR133W,Xanthine phosphoribosyltransferase 1,J2118;XPT1;YJR133W,P47165,2,2,2,11.5,23.7,1.3E-09,0.0E+00,1.9E+06,0.0E+00,,
YNL202W,"Peroxisomal 2,4-dienoyl-CoA reductase SPS19;Sporulation-specific protein SPX19",N1362;SPS19;SPX19;YNL202W,P32573,3,3,3,15.1,31.1,2.7E-18,0.0E+00,1.9E+06,0.0E+00,,
YPR137C-B,Capsid protein;Gag-p45;Gag-Pol-p199;Integrase;p190;p23;p54;p60;p84;p90;Pol-p20;Pol-p63;Pol-p71;Reverse transcriptase/ribonuclease H;Transposon Ty1 TYA-TYB polyprotein;Transposon Ty1-PR1 Gag-Pol polyprotein;Ty1 protease;TY1A-TY1B,N2453;P9659.6c;TY1B-A;TY1B-NL2;TY1B-PR1;YAR009C;YARCTy1-1 POL;YNL054W-B;YNLWTy1-2 POL;YPR137C-B;YPRCTy1-2 POL,P0C2I9,47,1,0,40.2,198.6,0.0E+00,7.6E+06,1.9E+06,0.0E+00,,
YJR131W,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase;ER alpha-1,2-mannosidase;Man(9)-alpha-mannosidase",J2110;MNS1;YJR131W,P32906,1,1,1,3.5,63.1,1.5E-17,7.8E+05,1.9E+06,0.0E+00,,
YPL098C,Mitochondrial genome-required protein 2;Protein MGR2,MGR2;YPL098C,Q02889,1,1,1,15,12.3,2.4E-05,0.0E+00,1.9E+06,0.0E+00,,
YMR046C,Capsid protein;Gag-p4;Gag-p45;Gag-p49;p54;p58;Transposon Ty1 protein A;Transposon Ty1-MR1 Gag polyprotein,TY1A-MR1;YM9532.11C;YMR046C;YMRCTy1-3 GAG,Q04215,9,1,0,36.1,49.3,1.1E-254,9.6E+06,1.9E+06,0.0E+00,,
YLR452C,Protein SST2,L9324.9;SST2;YLR452C,P11972;Q06207,5,5,5,7.2,79.7,1.1E-29,9.5E+06,1.9E+06,0.0E+00,,
YBL005W-B,Capsid protein;Gag-p45;Gag-Pol-p199;Integrase;p190;p23;p54;p60;p84;p90;Pol-p20;Pol-p63;Pol-p71;Reverse transcriptase/ribonuclease H;Transposon Ty1 TYA-TYB polyprotein;Transposon Ty1-BL Gag-Pol polyprotein;Ty1 protease;TY1A-TY1B,truncated TYB;TY1B-BL;YBL004W-A;YBL005W-B;YBL0325;YBLWTy1-1 POL,Q12490,37,1,0,34,199.0,0.0E+00,0.0E+00,1.9E+06,0.0E+00,,
YFR001W,60S ribosomal subunit assembly/export protein LOC1;Localization of ASH1 mRNA protein 1,LOC1;YFR001W,P43586,2,2,2,17.6,23.6,6.2E-05,0.0E+00,1.8E+06,0.0E+00,,
YEL053C,"Glucose repressible protein MAK10;L-A virus GAG protein N-acetyltransferase subunit MAK10;Maintenance of killer protein 10;Mak10p;N-alpha-acetyltransferase, 35 NatC auxiliary subunit;N-terminal acetyltransferase C complex subunit MAK10",MAK10;NAA35;YEL053C,D3DLJ7;Q02197,2,2,2,2.7,84.3,1.5E-04,0.0E+00,1.8E+06,0.0E+00,,
YNL181W,Uncharacterized protein YNL181W,N1640;YNL181W,P53878,3,3,3,8.6,46.5,1.0E-16,4.5E+06,1.8E+06,0.0E+00,,
YGL083W,Protein kinase-like protein SCY1,SCY1;YGL083W,P53009,4,4,4,7.8,91.0,1.3E-72,0.0E+00,1.8E+06,0.0E+00,,
YBL090W,"37S ribosomal protein MRP21, mitochondrial",MRP21;MRP50;YBL0702;YBL090W,P38175,2,2,2,9.6,20.4,6.6E-04,1.8E+07,1.8E+06,0.0E+00,,
YNL024C,Uncharacterized protein YNL024C,N2809;YNL024C,P53970,2,2,2,9.3,27.7,2.2E-05,0.0E+00,1.8E+06,0.0E+00,,
YBL057C,Peptidyl-tRNA hydrolase 2,PTH2;YBL0510;YBL0514;YBL057C,P34222,1,1,1,5.1,23.1,3.0E-08,6.4E+06,1.8E+06,0.0E+00,,
YGL233W,Exocyst complex component SEC15,SEC15;YGL233W,P22224,3,3,3,3.3,105.1,1.5E-09,1.2E+06,1.8E+06,0.0E+00,,
YGR027W-B,Capsid protein;Gag-p45;Gag-Pol-p199;Integrase;p190;p23;p54;p60;p84;p90;Pol-p20;Pol-p63;Pol-p71;Reverse transcriptase/ribonuclease H;Transposon Ty1 TYA-TYB polyprotein;Transposon Ty1-GR1 Gag-Pol polyprotein;Ty1 protease;TY1A-TY1B,G4054;TY1B-GR1;YGR027W-B;YGRWTy1-1 POL,Q12141,47,1,0,42.6,198.7,0.0E+00,0.0E+00,1.8E+06,0.0E+00,,
YOL002C,ADIPOR-like receptor IZH2;Phosphate metabolism protein 36,IZH2;PHO36;UND327;YOL002C,Q12442,3,3,3,8.8,36.3,1.8E-10,1.1E+06,1.7E+06,0.0E+00,,
YBR074W,,,,4,4,4,4.8,111.1,1.2E-46,7.8E+06,1.7E+06,0.0E+00,,
YPL006W,Niemann-Pick type C-related protein 1,NCR1;YPL006W,Q12200,5,5,5,4.9,132.6,7.3E-35,6.7E+06,1.7E+06,0.0E+00,,
YAL046C,Uncharacterized bolA-like protein YAL046C,YAL046C,P39724,2,2,2,16.9,13.4,1.5E-14,9.5E+06,1.7E+06,0.0E+00,,
YLR227W-B,Capsid protein;Gag-p45;Gag-Pol-p199;Integrase;p190;p23;p54;p60;p84;p90;Pol-p20;Pol-p63;Pol-p71;Reverse transcriptase/ribonuclease H;Transposon Ty1 TYA-TYB polyprotein;Transposon Ty1-LR3 Gag-Pol polyprotein;Ty1 protease;TY1A-TY1B,L8083.11;TY1B-LR3;YLR227W-B;YLRWTy1-3 POL,P0C2I6,43,1,0,38.5,198.4,0.0E+00,0.0E+00,1.7E+06,0.0E+00,,
